name,pop_2008,pop_2018,bagrut_2018,academic_2018,academic_2008,bagrut_2008,shnot_limud_16_plus_2008,shnot_limud_16_plus_2018,year_median_imcome_2018,year_median_imcome_2008,mounth_median_imcome_2008,mounth_median_imcome_2018,groth_rate,bagrut_groth_rate,academic_groth_rate,income_groth_rate,shiur_bagrut_2008,shiur_bagrut_2018,shiur_academic_2008,shiur_academic_2018,pop_groth_rate,e_s_normal_grouth
תל אביב -יפו 945,2898,2616,955,408,414,1031,1863,1667,83400,58100,5300,7500,-.0973084886128365,-.0737148399612028,-.0144927536231884,.415094339622641,35.576259489303,36.5061162079511,14.2857142857143,15.5963302752294,-9.73084886128365,1
תל אביב -יפו 944,3646,3599,1289,531,407,1107,2246,2426,78100,49800,4500,7000,-.0128908392759188,.164408310749774,.304668304668305,.555555555555556,30.3620405924301,35.8155043067519,11.1629182665935,14.7540983606557,-1.28908392759188,1
תל אביב -יפו 943,2893,3053,926,373,267,720,1681,1960,80300,58700,5300,7300,.0553059108192189,.286111111111111,.397003745318352,.377358490566038,24.8876598686485,30.3308221421553,9.22917386795714,12.2174909924664,5.53059108192189,1
תל אביב -יפו 942,5189,5115,1768,818,757,1727,3261,3383,85800,58900,5300,7800,-.0142609365966467,.0237405906195716,.0805812417437253,.471698113207547,33.2819425708229,34.5650048875855,14.5885527076508,15.9921798631476,-1.42609365966467,1
תל אביב -יפו 941,3014,3933,1188,445,218,660,1895,2609,82500,55200,5000,7400,.304910418049104,.8,1.04128440366972,.48,21.8978102189781,30.2059496567506,7.23291307232913,11.3145181795067,30.4910418049104,0
תל אביב -יפו 937,5124,5121,1539,596,503,1339,3013,3325,74500,54500,4900,6700,-.00058548009367676,.149365197908887,.184890656063618,.36734693877551,26.1319281811085,30.0527240773286,9.81654957064793,11.6383518843976,-.058548009367676,1
תל אביב -יפו 936,2505,3281,786,287,120,452,1449,2103,66100,41100,4100,6200,.309780439121756,.738938053097345,1.39166666666667,.51219512195122,18.0439121756487,23.956110941786,4.79041916167665,8.74733313014325,30.9780439121756,0
תל אביב -יפו 935,2291,1712, , ,125,485,1350, , ,41600,4100, ,-.252728066346574, , , ,21.1697948494107, ,5.4561326931471, ,-25.2728066346574,0
תל אביב -יפו 934,2195,1722, , ,117,510,1444, , ,40200,4100, ,-.215489749430524, , , ,23.2346241457859, ,5.33029612756264, ,-21.5489749430524,0
תל אביב -יפו 933,3841,3556,876,295,187,727,2239,2393,65600,47100,4500,6200,-.0741994272324915,.204951856946355,.577540106951872,.377777777777778,18.9273626659724,24.6344206974128,4.86852382192137,8.29583802024747,-7.41994272324915,1
תל אביב -יפו 932,761,720, , , , , , , , , , ,-.0538764783180026, , , , , , , ,-5.38764783180026,0
תל אביב -יפו 931,1970,1609, , , , , , , , , , ,-.183248730964467, , , , , , , ,-18.3248730964467,0
תל אביב -יפו 929,4285,4139,1448,705,425,1093,2596,2810,82400,51200,4800,7500,-.0340723453908984,.324794144556267,.658823529411765,.5625,25.5075845974329,34.9842957236047,9.91831971995333,17.0330997825562,-3.40723453908984,1
תל אביב -יפו 927,4730,5177,1972,1080,562,1415,2825,3167,90600,60800,5500,8300,.0945031712473572,.393639575971731,.921708185053381,.509090909090909,29.9154334038055,38.0915588178482,11.8816067653277,20.8615028008499,9.45031712473572,1
תל אביב -יפו 926,3190,3073,1091,528,360,881,1979,2008,85000,57400,5300,7900,-.0366771159874608,.238365493757094,.466666666666667,.490566037735849,27.6175548589342,35.502766026684,11.2852664576803,17.1819069313375,-3.66771159874608,1
תל אביב -יפו 925,3307,3145,913,381,264,858,2249,2145,81100,56000,5100,7200,-.0489869972785002,.0641025641025641,.443181818181818,.411764705882353,25.9449652252797,29.0302066772655,7.98306622316299,12.1144674085851,-4.89869972785002,1
תל אביב -יפו 924,1230,1242, , , , , , , , , , ,.00975609756097562, , , , , , , ,.975609756097562,0
תל אביב -יפו 923,677,287, , , , , , , , , , ,-.576070901033973, , , , , , , ,-57.6070901033973,0
תל אביב -יפו 922,1902,2030,956,549, , , ,1320,97900, , ,8800,.0672975814931651, , , , ,47.0935960591133, ,27.0443349753695,6.72975814931651,0
תל אביב -יפו 921,4257,4517,1993,1118,800,1596,2699,2875,98400,69600,6200,9000,.0610758750293634,.24874686716792,.3975,.451612903225806,37.4911909795631,44.1222050033208,18.7925769321118,24.7509408899712,6.10758750293634,1
תל אביב -יפו 916,1814,1794, , , , , , , , , , ,-.0110253583241455, , , , , , , ,-1.10253583241455,0
תל אביב -יפו 915,3164,3211,1440,881,558,1088,1808,1862,106300,68200,6200,9400,.0148546144121366,.323529411764706,.578853046594982,.516129032258065,34.3868520859671,44.8458424166926,17.6359039190898,27.4369355341015,1.48546144121366,1
תל אביב -יפו 912,2860,4023,2156,1365,703,1329,1792,2367,120700,83600,7600,11100,.406643356643357,.622272385252069,.941678520625889,.460526315789474,46.4685314685315,53.5918468804375,24.5804195804196,33.9299030574198,40.6643356643357,0
תל אביב -יפו 911,4178,4432,2291,1472,995,1859,2584,2641,119200,77900,7000,10800,.060794638583054,.232383001613771,.479396984924623,.542857142857143,44.4949736716132,51.692238267148,23.8152225945428,33.2129963898917,6.0794638583054,1
תל אביב -יפו 833,5006,4964,1433,474,245,1116,2973,3253,72300,49900,4600,6600,-.00838993208150218,.28405017921147,.934693877551021,.434782608695652,22.2932481022773,28.8678485092667,4.89412704754295,9.54875100725222,-.838993208150218,1
תל אביב -יפו 832,3784,3834,1164,476,242,901,2303,2441,82700,52300,4800,7300,.0132135306553911,.291897891231965,.966942148760331,.520833333333333,23.8107822410148,30.3599374021909,6.3953488372093,12.415232133542,1.32135306553911,1
תל אביב -יפו 826,937,969, , , , , , , , , , ,.0341515474919958, , , , , , , ,3.41515474919958,0
תל אביב -יפו 824,2679,2313,777,341,169,667,1611,1460,69900,44400,4300,6500,-.136618141097424,.164917541229385,1.01775147928994,.511627906976744,24.8973497573722,33.5927367055772,6.30832400149309,14.7427583225249,-13.6618141097424,1
תל אביב -יפו 823,1508,1356, , , , , , , , , , ,-.10079575596817, , , , , , , ,-10.079575596817,0
תל אביב -יפו 822,2942,3095,1221,568,239,840,1684,1808,67200,41600,4300,6500,.0520054384772264,.453571428571429,1.3765690376569,.511627906976744,28.5520054384772,39.4507269789984,8.12372535690007,18.3521809369952,5.20054384772264,1
תל אביב -יפו 821,963,530, , , , , , , , , , ,-.449636552440291, , , , , , , ,-44.9636552440291,0
תל אביב -יפו 816,590,588, , , , , , , , , , ,-.00338983050847452, , , , , , , ,-.338983050847452,0
תל אביב -יפו 815,642,558, , , , , , , , , , ,-.130841121495327, , , , , , , ,-13.0841121495327,0
תל אביב -יפו 814,2838,3228,1616,790,325,1050,1855,2082,72500,42800,4400,6900,.137420718816068,.539047619047619,1.43076923076923,.568181818181818,36.9978858350951,50.0619578686493,11.4517265680056,24.4733581164808,13.7420718816068,1
תל אביב -יפו 813,1497,2095,1401,821, , , ,1492,102600, , ,9400,.399465597862392, , , , ,66.873508353222, ,39.1885441527446,39.9465597862392,0
תל אביב -יפו 812,4357,5451,3530,2142,983,2233,3320,3998,99700,52100,5100,9100,.251090199678678,.580832960143305,1.17904374364191,.784313725490196,51.2508606839569,64.758759860576,22.5613954555887,39.2955421023665,25.1090199678678,0
תל אביב -יפו 811,1193,1914, , , , , , , , , , ,.604358759430008, , , , , , , ,60.4358759430008,0
תל אביב -יפו 747,2902,2733,925,367,353,953,1812,1798,74000,51600,4700,6500,-.0582356995175741,-.0293809024134313,.0396600566572238,.382978723404255,32.8394210889042,33.8455909257227,12.1640248104755,13.4284668862056,-5.82356995175741,1
תל אביב -יפו 746,3720,3835,1056,361,383,1041,2209,2297,72400,50200,4700,6500,.0309139784946237,.0144092219020173,-.0574412532637075,.382978723404255,27.9838709677419,27.5358539765319,10.2956989247312,9.41329856584094,3.09139784946237,1
תל אביב -יפו 745,3455,3617,1043,486,237,704,1978,2178,68000,45000,4300,6400,.0468885672937771,.481534090909091,1.0506329113924,.488372093023256,20.3762662807525,28.8360519767763,6.85962373371925,13.4365496267625,4.68885672937771,1
תל אביב -יפו 744,4725,4142,1238,387,307,1254,2875,2736,73200,51700,4600,6700,-.123386243386243,-.0127591706539075,.260586319218241,.456521739130435,26.5396825396825,29.8889425398358,6.4973544973545,9.34331240946403,-12.3386243386243,1
תל אביב -יפו 743,3530,3294,976,343,253,900,2194,2184,72000,49400,4600,6500,-.0668555240793202,.0844444444444445,.355731225296443,.41304347826087,25.4957507082153,29.6296296296296,7.1671388101983,10.4128718882817,-6.68555240793202,1
תל אביב -יפו 741,2672, , , ,175,449,1244, , ,45600,4400, , , , , ,16.8038922155689, ,6.54940119760479, , , 
תל אביב -יפו 736,3897,3666,997,403,290,829,2349,2470,72100,48300,4600,6600,-.0592763664357198,.202653799758745,.389655172413793,.434782608695652,21.2727739286631,27.1958537915985,7.44162176032846,10.9929078014184,-5.92763664357198,1
תל אביב -יפו 735,2702,2641,778,302,287,766,1555,1577,67600,47000,4400,6100,-.0225758697261288,.0156657963446476,.0522648083623694,.386363636363636,28.3493708364175,29.458538432412,10.6217616580311,11.4350624763347,-2.25758697261288,1
תל אביב -יפו 734,2601,3272,850,398,218,490,1352,1798,68600,51000,4800,6400,.257977700884275,.73469387755102,.825688073394495,.333333333333333,18.8389081122645,25.9779951100244,8.38139177239523,12.1638141809291,25.7977700884275,0
תל אביב -יפו 733,1169,1574, , , , , , , , , , ,.3464499572284, , , , , , , ,34.64499572284,0
תל אביב -יפו 732,3194,3700,1224,692,233,573,1709,2133,71400,46900,4400,6700,.158422041327489,1.13612565445026,1.96995708154506,.522727272727273,17.9398872886662,33.0810810810811,7.29492798998121,18.7027027027027,15.8422041327489,1
תל אביב -יפו 731,1807,2641,1214,790, , , ,1492,91500, , ,8400,.461538461538461, , , , ,45.9674365770541, ,29.9129117758425,46.1538461538461,0
תל אביב -יפו 725,2036,2357,608,254,102,272,1073,1438,62000,43700,4200,6000,.157662082514735,1.23529411764706,1.49019607843137,.428571428571429,13.3595284872299,25.7955027577429,5.0098231827112,10.7764106915571,15.7662082514735,1
תל אביב -יפו 723,2907,2496,666,358, , , ,1406,70500, , ,6600,-.141382868937049, , , , ,26.6826923076923, ,14.3429487179487,-14.1382868937049,1
תל אביב -יפו 721,788,1002, , , , , , , , , , ,.271573604060914, , , , , , , ,27.1573604060914,0
תל אביב -יפו 715,1022,1398, , , , , , , , , , ,.367906066536204, , , , , , , ,36.7906066536204,0
תל אביב -יפו 712,1738,3146,1778,1081, , , ,2012,89600, , ,8500,.810126582278481, , , , ,56.5162110616656, ,34.3610934520025,81.0126582278481,0
תל אביב -יפו 711,1111,2043,1125,719, , , ,1257,83300, , ,8100,.838883888388839, , , , ,55.0660792951542, ,35.1933431228585,83.8883888388839,0
תל אביב -יפו 622,757, , , , , , , , , , , , , , , , , , , , ,0
תל אביב -יפו 612,1373,3068,1989,1453, , , ,1691,146600, , ,13400,1.23452294246176, , , , ,64.8305084745763, ,47.3598435462842,123.452294246176,0
תל אביב -יפו 611,2699,2916,1813,1151,932,1557,1708,1746,108600,77800,7500,10000,.0804001482030381,.16441875401413,.234978540772532,.333333333333333,57.6880326046684,62.1742112482853,34.5313078918118,39.4718792866941,8.04001482030381,1
תל אביב -יפו 555,1977,2159,1391,938, , , ,1265,120000, , ,11200,.0920586747597369, , , , ,64.4279759147754, ,43.4460398332561,9.20586747597369,0
תל אביב -יפו 554,975,1048, , , , , , , , , , ,.074871794871795, , , , , , , ,7.4871794871795,0
תל אביב -יפו 553,1211, , , , , , , , , , , , , , , , , , , , ,0
תל אביב -יפו 552,639,1054, , , , , , , , , , ,.649452269170579, , , , , , , ,64.9452269170579,0
תל אביב -יפו 544,1993,2041,1300,855, , , ,1181,108300, , ,10000,.0240842950326141, , , , ,63.6942675159236, ,41.891229789319,2.40842950326141,0
תל אביב -יפו 543,1220,1563, , , , , , , , , , ,.281147540983607, , , , , , , ,28.1147540983607,0
תל אביב -יפו 542,916,1107, , , , , , , , , , ,.208515283842795, , , , , , , ,20.8515283842795,0
תל אביב -יפו 541,1068,1236, , , , , , , , , , ,.157303370786517, , , , , , , ,15.7303370786517,0
תל אביב -יפו 533,3359,3717,1824,1099,760,1389,1989,2106,94900,66900,6400,8900,.106579339089015,.31317494600432,.446052631578947,.390625,41.3515927359333,49.0718321226796,22.6257814825841,29.5668549905838,10.6579339089015,1
תל אביב -יפו 532,626,538, , , , , , , , , , ,-.140575079872205, , , , , , , ,-14.0575079872205,0
תל אביב -יפו 523,1365,1512, , , , , , , , , , ,.107692307692308, , , , , , , ,10.7692307692308,0
תל אביב -יפו 522,1844,1843, , , , , , , , , , ,-.000542299349240771, , , , , , , ,-.0542299349240771,0
תל אביב -יפו 521,1676,1690, , , , , , , , , , ,.00835322195704058, , , , , , , ,.835322195704058,0
תל אביב -יפו 517,3151,3333,2195,1501,1098,1877,2018,1951,119800,71100,6800,11200,.0577594414471596,.169419286094832,.367030965391621,.647058823529412,59.5683909869883,65.8565856585659,34.8460806093304,45.034503450345,5.77594414471596,1
תל אביב -יפו 516,3855,4327,2750,1778,1331,2316,2571,2572,115800,68700,6500,10800,.122438391699092,.187392055267703,.335837716003005,.661538461538462,60.0778210116732,63.5544256990987,34.526588845655,41.0908250519991,12.2438391699092,1
תל אביב -יפו 515,3448,3638,2294,1613,1125,1867,2033,2044,120000,69700,6800,11100,.0551044083526682,.228709159078736,.433777777777778,.632352941176471,54.1473317865429,63.0566245189665,32.6276102088167,44.3375481033535,5.51044083526682,1
תל אביב -יפו 514,2736,2811,1721,1162,865,1464,1694,1646,110600,70300,6600,10400,.0274122807017543,.175546448087432,.343352601156069,.575757575757576,53.5087719298246,61.2237637851298,31.6154970760234,41.3376022767698,2.74122807017543,1
תל אביב -יפו 513,2201,2506,1397,887,617,1141,1421,1508,98000,67100,6300,9600,.138573375738301,.224364592462752,.437601296596434,.523809523809524,51.8400726942299,55.7462090981644,28.032712403453,35.3950518754988,13.8573375738301,1
תל אביב -יפו 512,2136,2264,1323,832,663,1192,1471,1408,105300,66600,6300,9700,.0599250936329587,.10989932885906,.254901960784314,.53968253968254,55.8052434456929,58.4363957597173,31.0393258426966,36.7491166077738,5.99250936329587,1
תל אביב -יפו 511,1183,1230, , , , , , , , , , ,.0397295012679628, , , , , , , ,3.97295012679628,0
תל אביב -יפו 436,1928,2125,1424,933, , , ,1191,105900, , ,10100,.102178423236515, , , , ,67.0117647058823, ,43.9058823529412,10.2178423236515,0
תל אביב -יפו 435,758,1116, , , , , , , , , , ,.472295514511873, , , , , , , ,47.2295514511873,0
תל אביב -יפו 433,2824,3031,1949,1471,1183,1755,1561,1488,135800,91200,8600,12400,.0733002832861189,.11054131054131,.243448858833474,.441860465116279,62.1458923512748,64.3022104915869,41.8909348441926,48.5318376773342,7.33002832861189,1
תל אביב -יפו 432,3538,3967,2430,1877,1318,1874,1783,1926,147400,98100,9000,13800,.121254946297343,.296691568836713,.42412746585736,.533333333333333,52.967778405879,61.2553566927149,37.2526851328434,47.3153516511218,12.1254946297343,1
תל אביב -יפו 431,2791,2876,1882,1368,1123,1654,1582,1568,128700,90200,8300,11900,.0304550340379792,.137847642079806,.218165627782725,.433734939759036,59.2619132927266,65.4381084840056,40.236474381942,47.5660639777469,3.04550340379792,1
תל אביב -יפו 425,1896, , , , , , , , , , , , , , , , , , , , ,0
תל אביב -יפו 424,2868,2993,1839,1412,1112,1571,1492,1475,146800,108000,9900,13600,.0435843793584378,.170591979630808,.269784172661871,.373737373737374,54.7768479776848,61.4433678583361,38.7726638772664,47.1767457400601,4.35843793584378,1
תל אביב -יפו 423,2915,3220,1758,1287,1025,1492,1505,1539,148200,95000,9000,13700,.104631217838765,.17828418230563,.255609756097561,.522222222222222,51.1835334476844,54.5962732919255,35.1629502572899,39.9689440993789,10.4631217838765,1
תל אביב -יפו 422,3050,3398,1947,1513,1167,1676,1548,1484,158500,97000,9200,14100,.114098360655738,.161694510739857,.296486718080548,.532608695652174,54.9508196721311,57.2984108298999,38.2622950819672,44.526191877575,11.4098360655738,1
תל אביב -יפו 421,2561,2654,1612,1228,1058,1566,1470,1321,141200,100000,9000,13000,.0363139398672394,.029374201787995,.160680529300567,.444444444444444,61.1479890667708,60.7385079125848,41.3119875048809,46.2697814619442,3.63139398672394,1
תל אביב -יפו 415,3766,3977,2534,1916,1687,2406,2169,2037,129700,99600,9500,12200,.0560276155071695,.0532003325020782,.135743924125667,.284210526315789,63.8874137015401,63.7163691224541,44.7955390334572,48.1770178526528,5.60276155071695,1
תל אביב -יפו 414,2869,3069,2041,1495,1296,1848,1724,1625,133300,103700,9600,12800,.069710700592541,.104437229437229,.153549382716049,.333333333333333,64.4126873475078,66.5037471489084,45.1725339839665,48.71293580971,6.9710700592541,1
תל אביב -יפו 413,3669,3806,2359,1757,1443,2120,2122,1983,140300,93900,8600,12600,.0373398746252385,.112735849056604,.217602217602218,.465116279069767,57.7814118288362,61.9810825013137,39.329517579722,46.1639516552811,3.73398746252385,1
תל אביב -יפו 412,4458,4688,2411,1701,1292,1998,2363,2248,143600,95100,8600,13300,.0515926424405564,.206706706706707,.31656346749226,.546511627906977,44.8183041722746,51.429180887372,28.9816061013908,36.2841296928328,5.15926424405564,1
תל אביב -יפו 411,4249,5111,2761,2036,1333,2072,2322,2476,147500,94000,8900,13800,.202871263826783,.332528957528958,.527381845461365,.550561797752809,48.7644151565074,54.0207395812952,31.3720875500118,39.8356486010565,20.2871263826783,1
תל אביב -יפו 349,1566,1660, , , , , , , , , , ,.0600255427841634, , , , , , , ,6.00255427841634,0
תל אביב -יפו 348,1242,1220, , , , , , , , , , ,-.0177133655394525, , , , , , , ,-1.77133655394525,0
תל אביב -יפו 347,2881,2908,1940,1425,1093,1734,1752,1618,123900,79100,7500,11000,.00937174592155499,.118800461361015,.303751143641354,.466666666666667,60.1874349184311,66.7125171939477,37.9382158972579,49.0027510316369,.937174592155499,1
תל אביב -יפו 346,2350,2524,1692,1168,908,1483,1564,1467,116600,76200,7100,10800,.0740425531914894,.140930546190155,.286343612334802,.52112676056338,63.1063829787234,67.0364500792393,38.6382978723404,46.2757527733756,7.40425531914894,1
תל אביב -יפו 345,2121,2232,1461,1015,795,1233,1216,1248,110300,76800,7300,10200,.0523338048090523,.184914841849148,.276729559748428,.397260273972603,58.1329561527581,65.4569892473118,37.4823196605375,45.4749103942652,5.23338048090523,1
תל אביב -יפו 344,1969,1973, , , , , , , , , , ,.00203148806500764, , , , , , , ,.203148806500764,0
תל אביב -יפו 343,1935,2202,1445,996, , , ,1329,115400, , ,10500,.137984496124031, , , , ,65.622161671208, ,45.2316076294278,13.7984496124031,0
תל אביב -יפו 342,1948,2169,1472,1065, , , ,1327,124000, , ,11200,.113449691991786, , , , ,67.8653757491932, ,49.1009681881051,11.3449691991786,0
תל אביב -יפו 341,2054,2048,1399,1019,799,1307,1339,1248,123400,81600,7500,11200,-.00292112950340795,.070390206579954,.275344180225282,.493333333333333,63.6319376825706,68.310546875,38.8997078870497,49.755859375,-.292112950340795,1
תל אביב -יפו 337,1773,1845, , , , , , , , , , ,.0406091370558375, , , , , , , ,4.06091370558375,0
תל אביב -יפו 336,2073,2122,1290,839,675,1220,1385,1218,105500,66800,6300,9900,.0236372407139411,.0573770491803278,.242962962962963,.571428571428571,58.8519054510371,60.7917059377945,32.561505065123,39.5381715362865,2.36372407139411,1
תל אביב -יפו 335,1620,1664, , , , , , , , , , ,.0271604938271606, , , , , , , ,2.71604938271606,0
תל אביב -יפו 334,2226,2225,1397,948,749,1330,1436,1306,111800,64500,6100,10600,-.000449236298292854,.050375939849624,.265687583444593,.737704918032787,59.748427672956,62.7865168539326,33.6477987421384,42.6067415730337,-.0449236298292854,1
תל אביב -יפו 333,1468,1509, , , , , , , , , , ,.0279291553133516, , , , , , , ,2.79291553133516,0
תל אביב -יפו 332,1586, , , , , , , , , , , , , , , , , , , , ,0
תל אביב -יפו 326,2648,2749,1712,1197,897,1495,1675,1545,123100,70100,6600,11300,.0381419939577039,.145150501672241,.334448160535117,.712121212121212,56.4577039274924,62.2771917060749,33.8746223564955,43.5431065842124,3.81419939577039,1
תל אביב -יפו 325,3617,3711,2341,1718,1360,2260,2329,2052,127200,78700,7400,11600,.0259883881669891,.0358407079646017,.263235294117647,.567567567567568,62.4827204865911,63.0827270277553,37.6002211777716,46.2947992454864,2.59883881669891,1
תל אביב -יפו 324,2285,2165,1480,1109,985,1511,1538,1270,133700,79900,7300,12500,-.0525164113785558,-.0205162144275315,.125888324873096,.712328767123288,66.1269146608315,68.3602771362587,43.1072210065646,51.2240184757506,-5.25164113785558,1
תל אביב -יפו 323,3885,3954,2660,1944,1652,2546,2546,2324,131300,81300,7600,12100,.0177606177606178,.044776119402985,.176755447941889,.592105263157895,65.5341055341055,67.2736469398078,42.5225225225225,49.165402124431,1.77606177606178,1
תל אביב -יפו 322,1557,1689, , , , , , , , , , ,.0847784200385358, , , , , , , ,8.47784200385357,0
תל אביב -יפו 321,1588,1630, , , , , , , , , , ,.0264483627204031, , , , , , , ,2.64483627204031,0
תל אביב -יפו 317,2009,2118,1306,902,731,1253,1380,1215,116400,73900,7200,10600,.0542558486809357,.0422984836392657,.233926128590971,.472222222222222,62.3693379790941,61.6619452313503,36.3862618218019,42.5873465533522,5.42558486809357,1
תל אביב -יפו 316,1764,1742, , , , , , , , , , ,-.0124716553287982, , , , , , , ,-1.24716553287982,0
תל אביב -יפו 315,4177,3864,2616,1978,1911,2824,2790,2195,134100,90900,8500,12400,-.0749341632750778,-.0736543909348442,.0350601779173207,.458823529411765,67.6083313382811,67.7018633540373,45.750538664113,51.1904761904762,-7.49341632750778,1
תל אביב -יפו 314,4300,4335,2777,2102,1791,2639,2723,2362,140700,87600,8100,12800,.00813953488372099,.0522925350511558,.173646007816862,.580246913580247,61.3720930232558,64.0599769319493,41.6511627906977,48.4890426758939,.813953488372099,1
תל אביב -יפו 313,2004,2102,1231,871,734,1172,1377,1221,113100,82700,7700,10700,.0489021956087825,.0503412969283277,.186648501362398,.38961038961039,58.4830339321357,58.5632730732636,36.626746506986,41.4367269267364,4.89021956087825,1
תל אביב -יפו 312,2464,2467,1403,958,732,1258,1459,1415,114000,77000,7200,10700,.00121753246753253,.115262321144674,.308743169398907,.486111111111111,51.0551948051948,56.8706931495744,29.7077922077922,38.8325901905148,.121753246753253,1
תל אביב -יפו 233,3791,3974,1981,1236,814,1468,2194,2160,115600,77300,7100,10600,.0482722236876814,.349455040871935,.518427518427518,.492957746478873,38.7232920073859,49.8490186210367,21.4719071485096,31.1021640664318,4.82722236876814,1
תל אביב -יפו 232,2449,2654,1475,935,705,1197,1359,1420,126900,92200,8700,11700,.083707635769702,.232247284878864,.326241134751773,.344827586206897,48.8770926908942,55.5764883195177,28.7872601061658,35.2298417483044,8.3707635769702,1
תל אביב -יפו 231,3979,4220,2381,1572,1256,1964,2026,2145,137700,112700,10500,12600,.0605679819050013,.212321792260692,.251592356687898,.2,49.3591354611711,56.4218009478673,31.5657200301583,37.2511848341232,6.05679819050013,1
תל אביב -יפו 226,4148,4921,1962,1135,592,1282,2440,2931,93400,58000,5300,8500,.186354869816779,.530421216848674,.91722972972973,.60377358490566,30.9064609450338,39.869945133103,14.2719382835101,23.0644178012599,18.6354869816779,1
תל אביב -יפו 225,3246,3569,1692,976,661,1320,2084,2253,100000,61800,5500,8800,.0995070856438693,.281818181818182,.476550680786687,.6,40.6654343807763,47.4082376015691,20.3635243376463,27.3465956850658,9.95070856438693,1
תל אביב -יפו 224,1857,2156,1258,815, , , ,1107,127900, , ,11700,.161012385568121, , , , ,58.3487940630798, ,37.8014842300557,16.1012385568121,0
תל אביב -יפו 223,4368,5252,2954,1940,1414,2204,2281,2697,123900,102300,9500,11300,.202380952380952,.340290381125227,.371994342291372,.189473684210526,50.4578754578755,56.2452399086063,32.3717948717949,36.9383092155369,20.2380952380952,1
תל אביב -יפו 222,2332,3870,2051,1464,747,1058,1027,1826,173700,137000,12700,15400,.659519725557461,.938563327032136,.959839357429719,.21259842519685,45.368782161235,52.9974160206718,32.032590051458,37.8294573643411,65.9519725557461,0
תל אביב -יפו 216,2663,2663,1255,787,591,1096,1686,1532,111200,77600,7100,10300,0,.14507299270073,.331641285956007,.450704225352113,41.1565903116786,47.1273000375516,22.1930153961697,29.5531355613969,0,1
